RA,IAA,IEG,IPS,IDA,IPV,IAN,INDE,Fase,Pedra,Idade,Gênero,Atingiu PV,IPP,Escola,Ano,Tipo_Escola,Risco_Defasagem,delta_IDA,is_new
RA-1020,9.002,9.7727272725,6.88,9.0,8.84,10.0,8.9544954545,1A,Topázio,10.0,Feminino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,2.9000000000000004,0
RA-1021,8.0,9.2,3.77,3.3,7.893333333,10.0,6.964616667,FASE 1,Agata,,Masculino,,7.1875,,2023,Privada,0,0.0,1
RA-1021,9.502,9.318181818,7.51,8.0,7.95,5.0,8.0985863636,1A,Topázio,10.0,Masculino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,4.7,0
RA-1022,8.5,8.5,3.77,4.7,7.893333333,10.0,7.164616667,FASE 1,Ametista,9.0,Masculino,,7.1875,,2023,Privada,0,0.0,1
RA-1022,9.502,9.318181818,6.26,6.5,8.116666667,5.0,7.613169697000002,1A,Ametista,10.0,Masculino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,1.7999999999999998,0
RA-1023,10.0,10.0,6.27,9.1,9.06,10.0,9.1342,FASE 1,Topázio,,Feminino,,8.75,,2023,Privada,0,0.0,1
RA-1023,9.502,9.511904762,9.375,9.5,9.563333333,10.0,9.498580952300001,2B,Topázio,10.0,Feminino,,8.958333333,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,0.40000000000000036,0
RA-1024,0.0,10.0,6.27,9.8,8.95,5.0,7.788875,FASE 1,Ametista,10.0,Feminino,,9.21875,,2023,Privada,1,0.0,1
RA-1024,8.002,10.0,7.51,10.0,8.783333333,5.0,8.6516166666,1B,Topázio,11.0,Feminino,,8.4375,Escola João Paulo II,2024,Privada,1,0.1999999999999993,0
RA-1025,8.5,8.9,7.52,7.5,7.836666667,10.0,8.215158333,FASE 1,Topázio,9.0,Masculino,,7.65625,,2023,Privada,0,0.0,1
RA-1025,9.002,7.727272727,7.51,9.0,7.783333333,5.0,7.897071212,1A,Ametista,10.0,Masculino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,1.5,0
RA-1026,8.5,9.8,7.52,3.2,7.06,2.5,6.494825,FASE 1,Agata,,Feminino,,6.40625,,2023,Privada,1,0.0,1
RA-1027,9.5,9.7,7.52,6.0,8.333333333,5.0,7.748866667,FASE 1,Ametista,10.0,Feminino,,7.5,,2023,Privada,1,0.0,1
RA-1027,9.502,10.0,7.51,5.25,8.39,10.0,8.220866666700001,2B,Topázio,11.0,Feminino,,7.916666667,EE Bairro Boa Vista,2024,Pública,0,-0.75,0
RA-1028,0.0,9.2,7.52,5.0,7.946666667,5.0,6.415708333,FASE 1,Agata,11.0,Masculino,,7.34375,,2023,Privada,1,0.0,1
RA-1028,8.002,7.055335968,5.63,7.5,8.393333333,5.0,7.1404338602,1B,Ametista,12.0,Masculino,,6.875,EE Olivia de Faria Nogueira,2024,Pública,1,2.5,0
RA-1029,10.0,6.3,3.77,5.4,8.006666667,10.0,7.058533333,FASE 1,Ametista,9.0,Feminino,,7.5,,2023,Privada,0,0.0,1
RA-1029,9.002,8.7954545455,6.885,8.75,7.25,5.0,7.797790909100001,1C,Ametista,10.0,Feminino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,3.3499999999999996,0
RA-103,7.9,8.7,7.5,7.3,7.708,10.0,8.107,4,Ágata,13.0,Feminino,Não,,,2022,Privada,0,0.0,1
RA-103,8.3,9.2,5.0,7.1,8.09,10.0,8.0239,FASE 5,Topázio,14.0,Feminino,,8.125,,2023,Privada,0,-0.20000000000000018,0
RA-103,8.334,9.603174603333335,6.26,9.166666666666666,8.872,10.0,8.775268254,5A,Topázio,15.0,Feminino,,7.875,Colégio Arco Íris Evolução,2024,Privada,0,2.0666666666666664,0
RA-1030,8.5,9.7,3.77,6.9,8.39,5.0,7.4027,FASE 1,Ametista,,Masculino,,6.875,,2023,Privada,1,0.0,1
RA-1030,7.418,8.28320802,4.385,8.0,7.61,10.0,7.7401916040000005,2D,Ametista,12.0,Masculino,,7.8125,EE Paschoal Carlos Magno,2024,Pública,0,1.0999999999999996,0
RA-1031,8.0,8.8,7.52,5.9,7.006666667,5.0,7.0602,FASE 1,Ametista,10.0,Masculino,,6.666666667,,2023,Privada,1,0.0,1
RA-1031,9.502,8.6363636365,7.51,6.25,5.83,5.0,6.8757227273,1C,Agata,11.0,Masculino,,5.3125,EE Joaquim Mendes Feliz,2024,Pública,1,0.34999999999999964,0
RA-1032,8.5,9.5,7.52,6.0,7.563333333,5.0,7.434033333,FASE 1,Ametista,,Masculino,,7.291666667,,2023,Privada,1,0.0,1
RA-1032,8.502,9.75,7.51,8.0,7.92,5.0,8.01645,1C,Topázio,11.0,Masculino,,7.8125,EE Joaquim Mendes Feliz,2024,Pública,1,2.0,0
RA-1033,9.0,8.9,7.52,7.9,9.006666667,5.0,8.126033333,FASE 1,Topázio,,Feminino,,8.125,,2023,Privada,1,0.0,1
RA-1034,7.5,9.0,7.52,8.3,8.393333333,5.0,7.9642,FASE 1,Ametista,10.0,Masculino,,8.333333333,,2023,Privada,1,0.0,1
RA-1034,7.502,8.0833333335,7.51,7.5,8.223333333,10.0,8.0333666666,2B,Topázio,11.0,Masculino,,7.708333333,EE Alexandre Rodrigues Nogueira,2024,Pública,0,-0.8000000000000007,0
RA-1035,0.0,8.3,7.52,5.8,7.78,10.0,6.888833333,FASE 1,Agata,9.0,Masculino,,7.708333333,,2023,Privada,0,0.0,1
RA-1035,9.502,9.0227272725,7.51,7.0,7.92,5.0,7.833495454500001,1C,Ametista,10.0,Masculino,,8.4375,EE Dom Pedro Villas Boas de Souza,2024,Pública,1,1.2000000000000002,0
RA-1036,0.0,9.6,3.77,8.0,8.336666667,5.0,6.970583333,FASE 1,Agata,11.0,Feminino,,9.0625,,2023,Privada,1,0.0,1
RA-1036,10.002,9.0890269155,7.51,7.0,7.7475,10.0,8.2841303831,2H,Topázio,12.0,Feminino,,7.65625,EE João Ortiz Rodrigues,2024,Pública,0,-1.0,0
RA-1037,9.0,8.4,7.52,6.7,8.17,5.0,7.655575,FASE 1,Ametista,10.0,Masculino,,8.59375,,2023,Privada,1,0.0,1
RA-1038,8.0,9.3,7.52,6.5,8.17,5.0,7.736825,FASE 1,Ametista,10.0,Feminino,,8.90625,,2023,Privada,1,0.0,1
RA-1038,8.002,7.5438596495,7.51,8.5,7.273333333,10.0,7.9646385965,2I,Ametista,11.0,Feminino,,7.5,EE Dom Pedro Villas Boas de Souza,2024,Pública,0,2.0,0
RA-1039,8.0,9.9,7.52,6.2,8.056666667,5.0,7.686033333,FASE 1,Ametista,,Masculino,,8.125,,2023,Privada,1,0.0,1
RA-1039,8.002,9.722222222,7.51,7.25,6.77,5.0,7.549644444400001,2I,Ametista,13.0,Masculino,,7.5,EE Joaquim Mendes Feliz,2024,Pública,1,1.0499999999999998,0
RA-104,7.9,8.7,7.5,3.7,6.708,2.5,6.315,4,,18.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-104,0.0,7.7,2.52,2.6,5.6275,2.5,4.25,FASE 5,Quartzo,,Masculino,,5.625,,2023,Privada,1,-1.1,0
RA-1040,10.0,9.3,7.52,6.6,8.06,5.0,7.81545,FASE 1,Ametista,,Masculino,,7.8125,,2023,Privada,1,0.0,1
RA-1040,9.502,8.5416666665,7.51,8.25,7.273333333,5.0,7.764199999900001,2I,Ametista,12.0,Masculino,,7.5,EE Joaquim Mendes Feliz,2024,Pública,1,1.6500000000000004,0
RA-1041,10.0,7.2,7.52,3.3,8.003333333,5.0,6.724116667,FASE 1,Agata,10.0,Feminino,,7.8125,,2023,Privada,1,0.0,1
RA-1042,0.0,6.5,3.77,4.3,7.666666667,5.0,5.331166667,FASE 1,Quartzo,,Masculino,,7.708333333,,2023,Privada,1,0.0,1
RA-1043,10.0,7.9,6.27,2.5,7.833333333,5.0,6.5447,FASE 1,Agata,10.0,Masculino,,7.708333333,,2023,Privada,1,0.0,1
RA-1043,10.002,7.994071146,7.51,8.25,6.553333333,5.0,7.539847562500002,1H,Ametista,11.0,Masculino,,7.291666667,EE João Ortiz Rodrigues,2024,Pública,1,5.75,0
RA-1044,8.0,9.7,7.52,6.1,8.336666667,5.0,7.629533333,FASE 1,Ametista,10.0,Feminino,,7.5,,2023,Privada,1,0.0,1
RA-1044,7.502,9.523809524,7.51,7.0,7.21,10.0,7.966711904800001,2G,Ametista,11.0,Feminino,,7.1875,EE Olivia de Faria Nogueira,2024,Pública,0,0.9000000000000004,0
RA-1045,9.5,9.4,7.52,7.9,8.28,5.0,8.089033333,FASE 1,Topázio,11.0,Feminino,,7.708333333,,2023,Privada,1,0.0,1
RA-1046,0.0,8.5,3.77,6.3,8.223333333,10.0,6.835833333,FASE 1,Agata,9.0,Masculino,,8.541666667,,2023,Privada,0,0.0,1
RA-1047,10.0,8.5,3.77,6.9,7.893333333,10.0,7.848366667,FASE 1,Ametista,9.0,Masculino,,8.125,,2023,Privada,0,0.0,1
RA-1048,8.5,9.5,3.77,8.2,8.5,5.0,7.811366667,FASE 1,Ametista,10.0,Feminino,,8.541666667,,2023,Privada,1,0.0,1
RA-1048,8.502,6.833333333500001,6.255,6.25,8.283333333,10.0,7.5198666666000005,2A,Ametista,11.0,Feminino,,7.708333333,Estuda em outra cidade,2024,Privada,0,-1.9499999999999993,0
RA-1049,10.0,7.7,7.52,6.3,7.943333333,5.0,7.443366667,FASE 1,Ametista,10.0,Masculino,,8.125,,2023,Privada,1,0.0,1
RA-1049,9.502,8.03030303,7.51,4.5,6.745,5.0,6.821885606,1J,Agata,11.0,Masculino,,7.65625,EE João Ortiz Rodrigues,2024,Pública,1,-1.7999999999999998,0
RA-105,7.9,8.2,5.6,6.7,7.417,2.5,6.846,4,Ametista,17.0,Masculino,Não,,,2022,Privada,1,0.0,1
RA-1050,9.0,9.2,6.27,7.2,8.223333333,5.0,7.764366667,FASE 1,Ametista,11.0,Masculino,,8.125,,2023,Privada,1,0.0,1
RA-1051,8.5,8.9,6.27,8.4,8.613333333,10.0,8.534866667,FASE 1,Topázio,9.0,Feminino,,8.75,,2023,Privada,0,0.0,1
RA-1052,0.0,9.0,7.52,5.3,7.833333333,10.0,6.960333333,FASE 1,Agata,,Masculino,,7.916666667,,2023,Privada,0,0.0,1
RA-1052,5.834,9.128787879,6.26,8.25,8.4975,5.0,7.744032575800001,1J,Ametista,10.0,Masculino,,8.59375,EM Maria Ignez Concelles Irma Ines,2024,Privada,1,2.95,0
RA-1053,0.0,9.1,6.27,8.6,8.616666667,10.0,7.776166667,FASE 1,Ametista,9.0,Masculino,,8.958333333,,2023,Privada,0,0.0,1
RA-1054,8.5,8.6,7.52,6.6,7.836666667,5.0,7.459533333,FASE 1,Ametista,,Masculino,,7.5,,2023,Privada,1,0.0,1
RA-1054,9.502,7.3291925465,7.51,6.25,6.75,5.0,6.985788509300001,2G,Agata,13.0,Masculino,,7.1875,EE Leonice de Aquino Oliveira,2024,Pública,1,-0.34999999999999964,0
RA-1055,0.0,7.2,7.52,5.5,7.276666667,5.0,5.9765,FASE 1,Quartzo,11.0,Masculino,,7.291666667,,2023,Privada,1,0.0,1
RA-1055,10.002,5.7954545455,7.51,5.5,5.87,5.0,6.403040909100001,1J,Agata,12.0,Masculino,,7.1875,EE Loris Nassif Mattar Profa,2024,Pública,1,0.0,0
RA-1056,8.5,9.6,7.52,8.1,8.113333333,10.0,8.551741667,FASE 1,Topázio,9.0,Masculino,,7.96875,,2023,Privada,0,0.0,1
RA-1056,8.502,9.2857142855,7.51,8.25,8.335,5.0,8.192009523800001,1L,Topázio,10.0,Masculino,,9.166666667,EM Amanda Consuelo da Cunha,2024,Privada,1,0.15000000000000036,0
RA-1057,10.0,10.0,7.52,6.3,8.34,10.0,8.4827,FASE 1,Topázio,9.0,Feminino,,8.125,,2023,Privada,0,0.0,1
RA-1057,10.002,10.0,6.26,8.0,8.17,5.0,8.2352,1L,Topázio,10.0,Feminino,,8.75,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,1.7000000000000002,0
RA-1058,10.0,8.7,3.14,5.4,7.62,10.0,7.356533333,FASE 1,Ametista,,Feminino,,7.083333333,,2023,Privada,0,0.0,1
RA-1058,9.168,8.095238095,6.88,7.75,8.085,5.0,7.703347619,1K,Ametista,10.0,Feminino,,8.125,EE Helio Luiz Dobrochinski Prof,2024,Pública,1,2.3499999999999996,0
RA-1059,10.0,9.8,2.52,7.6,8.673333333,5.0,7.763741667,FASE 1,Ametista,,Masculino,,7.96875,,2023,Privada,1,0.0,1
RA-1059,8.002,10.0,6.26,7.5,9.23,10.0,8.678450000000002,2M,Topázio,11.0,Masculino,,9.0625,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,-0.09999999999999964,0
RA-106,9.2,8.0,9.4,7.4,8.375,5.0,7.973,4,Topázio,15.0,Feminino,Sim,,,2022,Privada,1,0.0,1
RA-106,7.9,9.1,5.0,7.3,7.5075,10.0,7.769658333,FASE 5,Ametista,15.0,Feminino,,7.03125,,2023,Privada,0,-0.10000000000000053,0
RA-106,9.168,8.761904762,5.635,5.666666666666667,7.872,10.0,7.721664285733334,6A,Ametista,16.0,Feminino,,7.8125,Colégio Arco Íris Evolução,2024,Privada,0,-1.6333333333333329,0
RA-1060,9.0,8.6,3.14,5.7,8.673333333,5.0,7.095741667,FASE 1,Ametista,,Masculino,,7.96875,,2023,Privada,1,0.0,1
RA-1060,9.585,6.0,6.26,3.25,6.163333333,10.0,6.448416666600001,2M,Agata,12.0,Masculino,,7.8125,EE Donizetti Aparecido Leite Professor,2024,Pública,0,-2.45,0
RA-1061,9.5,9.7,3.14,9.3,8.836666667,5.0,8.196533333,FASE 1,Topázio,10.0,Masculino,,8.75,,2023,Privada,1,0.0,1
RA-1061,8.502,10.0,6.26,8.5,8.73,10.0,8.76595,2M,Topázio,11.0,Masculino,,8.4375,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,-0.8000000000000007,0
RA-1062,7.4,7.7,3.77,6.2,8.503333333,10.0,7.448841667,FASE 1,Ametista,,Masculino,,8.59375,,2023,Privada,0,0.0,1
RA-1062,8.002,9.047619048,5.63,7.25,8.085,5.0,7.6147238096,1L,Ametista,10.0,Masculino,,8.75,EM Alfredo Schunk,2024,Privada,1,1.0499999999999998,0
RA-1063,9.5,9.5,7.52,5.9,7.89,5.0,7.490825,FASE 1,Ametista,,Masculino,,6.40625,,2023,Privada,1,0.0,1
RA-1063,5.25,9.75,7.51,7.75,6.11,5.0,7.279250000000001,2N,Ametista,12.0,Masculino,,7.8125,EE Donizetti Aparecido Leite Professor,2024,Pública,1,1.8499999999999996,0
RA-1064,8.5,9.8,7.52,8.6,8.84,5.0,8.4777,FASE 1,Topázio,10.0,Masculino,,9.375,,2023,Privada,1,0.0,1
RA-1064,9.502,9.7368421055,7.51,8.5,8.783333333,10.0,8.9802350877,2N,Topázio,11.0,Masculino,,8.75,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,-0.09999999999999964,0
RA-1065,8.5,9.6,7.52,7.0,8.84,5.0,8.03395,FASE 1,Topázio,,Feminino,,8.4375,,2023,Privada,1,0.0,1
RA-1065,9.502,8.8152173915,6.26,9.25,8.84,10.0,8.8634934783,2N,Topázio,11.0,Feminino,,9.0625,EE Helio Luiz Dobrochinski Prof,2024,Pública,0,2.25,0
RA-1066,8.5,6.6,7.52,6.2,8.783333333,5.0,7.262616667,FASE 1,Ametista,10.0,Feminino,,8.4375,,2023,Privada,1,0.0,1
RA-1066,9.502,8.3954451345,6.26,7.25,7.386666667,10.0,7.9326223603,2L,Ametista,11.0,Feminino,,7.5,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,0,1.0499999999999998,0
RA-1067,0.0,7.9,7.52,5.4,9.006666667,5.0,6.541458333,FASE 1,Agata,10.0,Masculino,,8.28125,,2023,Privada,1,0.0,1
RA-1067,10.002,8.333333332999999,7.51,6.75,8.59,5.0,7.840033333300001,1K,Ametista,11.0,Masculino,,8.541666667,EM Cecilia Cristina de Oliveira Rodrigues,2024,Privada,1,1.3499999999999996,0
RA-1068,8.5,9.3,6.89,9.0,9.283333333,5.0,8.472533333,FASE 1,Topázio,,Masculino,,9.166666667,,2023,Privada,1,0.0,1
RA-1068,9.502,9.068181818,7.51,9.5,8.73,10.0,9.0150030303,2R,Topázio,11.0,Masculino,,8.541666667,EE Maria André Schunck Dona,2024,Pública,0,0.5,0
RA-1069,9.0,7.8,7.52,7.1,8.226666667,5.0,7.590033333,FASE 1,Ametista,11.0,Masculino,,8.125,,2023,Privada,1,0.0,1
RA-1069,9.002,7.0760869565,7.51,6.25,7.75,10.0,7.678917391300001,2K,Ametista,12.0,Masculino,,8.125,EE Maria André Schunck Dona,2024,Pública,0,-0.8499999999999996,0
RA-107,7.5,6.4,7.5,4.6,6.5,5.0,6.258,4,Topázio,15.0,Feminino,Não,,,2022,Privada,1,0.0,1
RA-107,0.0,8.5,5.0,7.0,7.5875,10.0,6.845208333,FASE 5,Agata,15.0,Feminino,,7.34375,,2023,Privada,0,2.4000000000000004,0
RA-107,7.5,7.9949874686666655,7.51,4.666666666666667,6.964,5.0,6.676130827066667,5D,Agata,16.0,Feminino,,7.5,EE Mario Francisco de Amorim,2024,Pública,1,-2.333333333333333,0
RA-1070,9.0,7.8,3.14,5.8,8.67,5.0,6.939033333,FASE 1,Agata,11.0,Masculino,,7.708333333,,2023,Privada,1,0.0,1
RA-1070,9.002,9.3073593075,5.635,2.25,6.6225,5.0,6.287171861500001,1P,Agata,12.0,Masculino,,6.875,EE Donizetti Aparecido Leite Professor,2024,Pública,1,-3.55,0
RA-1071,9.0,8.6,7.52,3.5,6.396666667,5.0,6.414033333,FASE 1,Agata,11.0,Masculino,,5.625,,2023,Privada,1,0.0,1
RA-1071,8.002,4.188311688500001,7.51,4.5,2.996666667,5.0,4.8048623378,2R,Quartzo,12.0,Masculino,,4.166666667,EE Maria André Schunck Dona,2024,Pública,1,1.0,0
RA-1072,9.0,8.6,5.0,6.7,8.7125,10.0,8.0152,FASE 2,Topázio,11.0,Masculino,,8.125,,2023,Privada,0,0.0,1
RA-1072,8.751,5.627886710333333,8.755,8.166666666666666,7.545,10.0,7.8153856754,3B,Ametista,12.0,Masculino,,7.96875,EE Leonice de Aquino Oliveira,2024,Pública,0,1.466666666666666,0
RA-1073,0.0,8.8,2.52,6.2,9.045,5.0,6.384333333,FASE 2,Agata,,Feminino,,8.333333333,,2023,Privada,1,0.0,1
RA-1073,9.168,6.370972886666667,7.5,6.5,5.7875,10.0,7.0859945773333335,3A,Ametista,13.0,Feminino,,6.875,EE Mario Francisco de Amorim,2024,Pública,0,0.2999999999999998,0
RA-1074,0.0,9.8,2.52,6.0,7.8775,5.0,6.195833333,FASE 2,Agata,12.0,Feminino,,7.083333333,,2023,Privada,1,0.0,1
RA-1075,0.0,9.6,5.0,5.5,9.0025,5.0,6.591333333,FASE 2,Agata,12.0,Feminino,,7.708333333,,2023,Privada,1,0.0,1
RA-1075,7.5,8.5154061625,3.755,6.0,7.553333333,5.0,6.8100812324,2A,Agata,13.0,Feminino,,7.708333333,EE Leonice de Aquino Oliveira,2024,Pública,1,0.5,0
RA-1076,9.0,9.7,2.52,8.5,8.8775,5.0,7.901033333,FASE 2,Ametista,,Feminino,,8.333333333,,2023,Privada,1,0.0,1
RA-1076,8.334,7.777033492666668,8.125,6.333333333333333,6.5425,10.0,7.479598365200001,3A,Ametista,13.0,Feminino,,7.03125,EE Mario Francisco de Amorim,2024,Pública,0,-2.166666666666667,0
RA-1077,0.0,9.7,2.52,7.3,8.4225,10.0,7.2115,FASE 2,Ametista,,Masculino,,8.75,,2023,Privada,0,0.0,1
RA-1077,0.0,7.703703703666666,6.885,2.0,6.37,10.0,5.543865740733334,3D,Quartzo,12.0,Masculino,,6.40625,EE Alexandre Rodrigues Nogueira,2024,Pública,0,-5.3,0
RA-1078,5.3,6.8,2.52,6.4,8.2975,5.0,6.472333333,FASE 2,Agata,14.0,Masculino,,8.958333333,,2023,Privada,1,0.0,1
RA-1079,9.0,8.1,2.52,7.6,7.13,5.0,6.916533333,FASE 2,Agata,,Masculino,,7.083333333,,2023,Privada,1,0.0,1
RA-1079,7.5,4.516498316333333,2.51,6.333333333333333,4.1625,10.0,5.4253413299333335,3B,Quartzo,13.0,Masculino,,4.21875,EE Alexandre Rodrigues Nogueira,2024,Pública,0,-1.2666666666666666,0
